"_defaultColorIndex","id","loss","name","time_step"
"1","r8dg7ji6","3.449235919106286e-7","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","0"
"1","r8dg7ji6","0.000001121099671763659","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","1"
"1","r8dg7ji6","0.0000039837918848206755","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","2"
"1","r8dg7ji6","0.000012772425179718994","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","3"
"1","r8dg7ji6","0.000023709397282800637","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","4"
"1","r8dg7ji6","0.00005766257891082205","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","5"
"1","r8dg7ji6","0.00011802113294834271","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","6"
"1","r8dg7ji6","0.0002836487255990505","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","7"
"1","r8dg7ji6","0.0004229770274832845","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","8"
"1","r8dg7ji6","0.0005943495780229568","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","9"
"1","r8dg7ji6","0.0008020374225452542","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","10"
"1","r8dg7ji6","0.0011081157717853785","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","11"
"1","r8dg7ji6","0.0014738206518813968","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","12"
"1","r8dg7ji6","0.0016608752775937319","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","13"
"1","r8dg7ji6","0.001828002859838307","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","14"
"1","r8dg7ji6","0.002098826691508293","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","15"
"1","r8dg7ji6","0.0023684196639806032","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","16"
"1","r8dg7ji6","0.0025434312410652637","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","17"
"1","r8dg7ji6","0.002752514323219657","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","18"
"1","r8dg7ji6","0.0032181888818740845","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","19"
"1","r8dg7ji6","0.004001570399850607","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","20"
"1","r8dg7ji6","0.005283448379486799","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","21"
"1","r8dg7ji6","0.006405017338693142","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","22"
"1","r8dg7ji6","0.007327323313802481","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","23"
"1","r8dg7ji6","0.007927466183900833","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","24"
"1","r8dg7ji6","0.009521604515612125","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","25"
"1","r8dg7ji6","0.012997012585401535","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","26"
"1","r8dg7ji6","0.01843622699379921","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","27"
"1","r8dg7ji6","0.020577343180775642","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","28"
"1","r8dg7ji6","0.02161344140768051","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","29"
"1","r8dg7ji6","0.023347504436969757","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","30"
"1","r8dg7ji6","0.02479112334549427","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","31"
"1","r8dg7ji6","0.025817031040787697","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","32"
"1","r8dg7ji6","0.02611122839152813","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","33"
"1","r8dg7ji6","0.02680286392569542","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","34"
"1","r8dg7ji6","0.02832580730319023","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","35"
"1","r8dg7ji6","0.030180728062987328","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","36"
"1","r8dg7ji6","0.030502796173095703","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","37"
"1","r8dg7ji6","0.028611846268177032","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","38"
"1","r8dg7ji6","0.025848379358649254","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","39"
"1","r8dg7ji6","0.023919088765978813","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","40"
"1","r8dg7ji6","0.022274676710367203","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","41"
"1","r8dg7ji6","0.022169385105371475","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","42"
"1","r8dg7ji6","0.025578292086720467","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","43"
"1","r8dg7ji6","0.03008602373301983","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","44"
"1","r8dg7ji6","0.0317889004945755","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","45"
"1","r8dg7ji6","0.03205369785428047","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","46"
"1","r8dg7ji6","0.035489749163389206","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","47"
"1","r8dg7ji6","0.04208750277757645","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","48"
"1","r8dg7ji6","0.04544522240757942","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","49"
"1","r8dg7ji6","0.048447512090206146","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","50"
"1","r8dg7ji6","0.05105183273553848","turbulent_radiative_layer_2D-unet_convnext-UNetConvNext-0.0005","51"
